1,20,15,2025-05-01,150.00,2025-04-30,1,1,2
2,30,20,2025-05-05,200.00,2025-04-30,2,2,6
3,25,18,2025-06-01,180.00,2025-05-28,3,3,10
4,40,35,2025-07-01,250.00,2025-06-25,4,4,12
5,50,45,2025-08-01,300.00,2025-07-28,5,5,16
6,60,55,2025-09-01,350.00,2025-08-28,6,6,20
7,35,30,2025-10-01,280.00,2025-09-28,7,7,22
8,25,20,2025-11-01,220.00,2025-10-30,8,8,26
9,15,10,2025-12-01,150.00,2025-11-30,9,9,30
10,40,35,2025-12-15,270.00,2025-12-10,10,10,34
11,50,40,2026-01-01,300.00,2025-12-28,1,11,37
12,30,25,2026-01-10,220.00,2026-01-05,2,12,40
13,45,40,2026-02-01,250.00,2026-01-25,3,13,44
14,55,50,2026-02-15,320.00,2026-02-10,4,14,47
15,25,20,2026-03-01,190.00,2026-02-20,5,15,50
16,35,30,2026-03-10,230.00,2026-03-05,6,16,69
17,40,35,2026-04-01,270.00,2026-03-28,7,17,70
18,45,40,2026-04-10,310.00,2026-04-05,8,18,2
19,50,45,2026-05-01,350.00,2026-04-25,9,19,6
20,30,25,2026-05-10,230.00,2026-05-05,10,20,10
21,40,30,2026-06-01,260.00,2026-05-28,1,21,12
22,25,15,2026-06-15,180.00,2026-06-10,2,22,16
23,35,30,2026-07-01,220.00,2026-06-25,3,23,20
24,50,40,2026-07-10,290.00,2026-07-05,4,24,22
25,30,25,2026-08-01,250.00,2026-07-28,5,25,26
26,45,40,2026-08-10,310.00,2026-08-05,6,26,30
27,35,30,2026-09-01,270.00,2026-08-28,7,27,34
28,25,20,2026-09-10,200.00,2026-09-05,8,28,37
29,40,35,2026-10-01,280.00,2026-09-25,9,29,40
30,50,45,2026-10-15,330.00,2026-10-10,10,30,44
31,60,50,2026-11-01,360.00,2026-10-25,1,31,47
32,35,30,2026-11-10,230.00,2026-11-05,2,32,50
33,45,40,2026-12-01,290.00,2026-11-28,3,33,69
34,50,40,2026-12-10,320.00,2026-12-05,4,34,70
35,30,25,2027-01-01,240.00,2026-12-25,5,35,2
36,40,30,2027-01-15,270.00,2027-01-10,6,36,6
37,45,40,2027-02-01,310.00,2027-01-25,7,37,10
38,35,30,2027-02-10,260.00,2027-02-05,8,38,12
39,50,45,2027-03-01,350.00,2027-02-25,9,39,16
40,60,50,2027-03-10,380.00,2027-03-05,10,40,20
41,25,20,2027-04-01,190.00,2027-03-25,1,41,22
42,35,30,2027-04-10,220.00,2027-04-05,2,42,26
43,45,40,2027-05-01,270.00,2027-04-25,3,43,30
44,50,45,2027-05-10,320.00,2027-05-05,4,44,34
45,25,20,2027-06-01,210.00,2027-05-25,5,45,37
46,35,30,2027-06-10,230.00,2027-06-05,6,46,40
47,50,45,2027-07-01,300.00,2027-06-25,7,47,44
48,30,25,2027-07-10,250.00,2027-07-05,8,48,47
49,40,35,2027-08-01,280.00,2027-07-28,9,49,50
50,60,50,2027-08-10,350.00,2027-08-05,10,50,69
