1,2500.00,3,2025-04-20,5,1,1
2,3500.00,4,2025-04-21,8,2,3
3,4500.00,5,2025-04-22,11,3,4
4,5000.00,6,2025-04-23,15,4,6
5,3700.00,4,2025-04-24,18,5,7
6,5500.00,6,2025-04-25,23,6,9
7,3200.00,3,2025-04-26,28,7,10
8,2800.00,3,2025-04-27,31,8,12
9,4200.00,5,2025-04-28,35,9,14
10,5000.00,6,2025-04-29,41,10,15
11,2700.00,3,2025-04-30,45,11,17
12,3200.00,4,2025-05-01,5,12,19
13,4200.00,5,2025-05-02,8,13,20
14,4700.00,6,2025-05-03,11,14,22
15,5600.00,7,2025-05-04,15,15,23
16,4300.00,5,2025-05-05,18,16,25
17,6000.00,6,2025-05-06,23,17,27
18,3800.00,4,2025-05-07,28,18,29
19,5200.00,6,2025-05-08,31,19,31
20,4500.00,5,2025-05-09,35,20,33
21,4900.00,6,2025-05-10,41,21,34
22,3700.00,4,2025-05-11,45,22,36
23,4100.00,5,2025-05-12,5,23,37
24,5600.00,6,2025-05-13,8,24,39
25,5300.00,6,2025-05-14,11,25,41
26,5900.00,7,2025-05-15,15,26,42
27,3200.00,4,2025-05-16,18,27,44
28,4800.00,5,2025-05-17,23,28,46
29,5500.00,6,2025-05-18,28,29,47
30,5000.00,5,2025-05-19,31,30,49
31,5200.00,6,2025-05-20,35,31,50
